id,title,alternative_title,description,tasks,soft_skill,hard_skill,job_zone,majors,typical_industries,in_demand,hazard,physical_activity,decision_making,time_pressure
"427","Mathematical Science Teachers, Postsecondary","","","","","","","","","","","","",""
"428","Mathematician","","","Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.
Apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields.
Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.
Assemble sets of assumptions and explore the consequences of each set.
Maintain knowledge in the field by reading professional journals, talking with other mathematicians, and attending professional conferences.
Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.
Disseminate research by writing reports, publishing papers, or presenting at professional conferences.
Perform computations and apply methods of numerical analysis to data.
Develop new principles and new relationships between existing mathematical principles to advance mathematical science.
Design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code.","","","","","","","Low","Low","Low","Low"
"429","Meat, Poultry, and Fish Cutter and Trimmer","","","Use knives, cleavers, meat saws, bandsaws, or other equipment to perform meat cutting and trimming.
Weigh meats and tag containers for weight and contents.
Inspect meat products for defects, bruises or blemishes and remove them along with any excess fat.
Cut and trim meat to prepare for packing.
Separate meats and byproducts into specified containers and seal containers.
Process primal parts into cuts that are ready for retail use.
Prepare ready-to-heat foods by filleting meat or fish or cutting it into bite-sized pieces, preparing and adding vegetables or applying sauces or breading.
Clean, trim, slice, and section carcasses for future processing.
Remove parts, such as skin, feathers, scales or bones, from carcass.
Prepare sausages, luncheon meats, hot dogs, and other fabricated meat products, using meat trimmings and hamburger meat.","","","","","","","","","",""
"430","Mechanical Door Repairer","","","Wind large springs with upward motion of arm.
Adjust doors to open or close with the correct amount of effort or make simple adjustments to electric openers.
Carry springs to tops of doors, using ladders or scaffolding, and attach springs to tracks to install spring systems.
Repair or replace worn or broken door parts, using hand tools.
Complete required paperwork, such as work orders, according to services performed or required.
Fasten angle iron back-hangers to ceilings and tracks, using fasteners or welding equipment.
Collect payment upon job completion.
Install door frames, rails, steel rolling curtains, electronic-eye mechanisms, or electric door openers and closers, using power tools, hand tools, and electronic test equipment.
Inspect job sites, assessing headroom, side room, or other conditions to determine appropriateness of door for a given location.
Assemble and fasten tracks to structures or bucks, using impact wrenches or welding equipment.","","","","","","","","","",""
"431","Mechanical Drafter","","","Develop detailed design drawings and specifications for mechanical equipment, dies, tools, and controls, using computer-assisted drafting (CAD) equipment.
Produce three-dimensional models, using computer-aided design (CAD) software.
Lay out and draw schematic, orthographic, or angle views to depict functional relationships of components, assemblies, systems, and machines.
Modify and revise designs to correct operating deficiencies or to reduce production problems.
Review and analyze specifications, sketches, drawings, ideas, and related data to assess factors affecting component designs and the procedures and instructions to be followed.
Check dimensions of materials to be used and assign numbers to the materials.
Design scale or full-size blueprints of specialty items, such as furniture and automobile body or chassis components.
Compute mathematical formulas to develop and design detailed specifications for components or machinery, using computer-assisted equipment.
Coordinate with and consult other workers to design, lay out, or detail components and systems and to resolve design or other problems.
Confer with customer representatives to review schematics and answer questions pertaining to installation of systems.","","","","","","","","","",""
"432","Mechanical Engineer","","","Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software.
Design integrated mechanical or alternative systems, such as mechanical cooling systems with natural ventilation systems, to improve energy efficiency.
Research and analyze customer design proposals, specifications, manuals, or other data to evaluate the feasibility, cost, or maintenance requirements of designs or applications.
Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.
Oversee installation, operation, maintenance, or repair to ensure that machines or equipment are installed and functioning according to specifications.
Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.
Recommend design modifications to eliminate machine or system malfunctions.
Perform personnel functions, such as supervision of production workers, technicians, technologists, or other engineers.","","","","","","","Moderate","Moderate","Moderate","Moderate"
"433","Mechanical Engineering Technologist and Technician","","","Calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.
Review project instructions and blueprints to ascertain test specifications, procedures, and objectives, and test nature of technical problems such as redesign.
Draft detail drawing or sketch for drafting room completion or to request parts fabrication by machine, sheet or wood shops.
Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications.
Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods.
Read dials and meters to determine amperage, voltage, electrical output and input at specific operating temperature to analyze parts performance.
Review project instructions and specifications to identify, modify and plan requirements fabrication, assembly and testing.
Set up and conduct tests of complete units and components under operational conditions to investigate proposals for improving equipment performance.
Set up prototype and test apparatus and operate test controlling equipment to observe and record prototype test results.
Evaluate tool drawing designs by measuring drawing dimensions and comparing with original specifications for form and function using engineering skills.","","","","","","","","","",""
"434","Mechatronics Engineer","","","Design engineering systems for the automation of industrial tasks.
Create mechanical design documents for parts, assemblies, or finished products.
Maintain technical project files.
Implement or test design solutions.
Create mechanical models and tolerance analyses to simulate mechatronic design concepts.
Conduct studies to determine the feasibility, costs, or performance benefits of new mechatronic equipment.
Publish engineering reports documenting design details or qualification test results.
Research, select, or apply sensors, communication technologies, or control devices for motion control, position sensing, pressure sensing, or electronic communication.
Identify and select materials appropriate for mechatronic system designs.
Apply mechatronic or automated solutions to the transfer of materials, components, or finished goods.","","","","","","","Moderate","Low","Low","Moderate"
"435","Media Programming Directors","","","Plan and schedule programming and event coverage, based on broadcast length, time availability, and other factors, such as community needs, ratings data, and viewer demographics.
Coordinate activities between departments, such as news and programming.
Direct and coordinate activities of personnel engaged in broadcast news, sports, or programming.
Monitor and review programming to ensure that schedules are met, guidelines are adhered to, and performances are of adequate quality.
Check completed program logs for accuracy and conformance with Federal Communications Commission (FCC) rules and regulations and resolve program log inaccuracies.
Establish work schedules and assign work to staff members.
Monitor network transmissions for advisories concerning daily program schedules, program content, special feeds, or program changes.
Prepare copy and edit tape so that material is ready for broadcasting.
Confer with directors and production staff to discuss issues, such as production and casting problems, budgets, policies, and news coverage.
Develop ideas for programs and features that a station could produce.","","","","","","","","","",""
"436","Media Technical Directors/Managers","","","Switch between video sources in a studio or on multi-camera remotes, using equipment such as switchers, video slide projectors, and video effects generators.
Observe pictures through monitors and direct camera and video staff concerning shading and composition.
Supervise and assign duties to workers engaged in technical control and production of radio and television programs.
Monitor broadcasts to ensure that programs conform to station or network policies and regulations.
Operate equipment to produce programs or broadcast live programs from remote locations.
Test equipment to ensure proper operation.
Train workers in use of equipment, such as switchers, cameras, monitors, microphones, and lights.
Act as liaisons between engineering and production departments.
Collaborate with promotions directors to produce on-air station promotions.
Confer with operations directors to formulate and maintain fair and attainable technical policies for programs.","","","","","","","","","",""
"437","Medical and Clinical Laboratory Technologist","","","Collect blood or tissue samples from patients, observing principles of asepsis to obtain blood sample.
Conduct chemical analyses of body fluids, such as blood or urine, using microscope or automatic analyzer to detect abnormalities or diseases and enter findings into computer.
Obtain specimens, cultivating, isolating, and identifying microorganisms for analysis.
Examine cells stained with dye to locate abnormalities.
Consult with a pathologist to determine a final diagnosis when abnormal cells are found.
Cut, stain, and mount tissue samples for examination by pathologists.
Set up, maintain, calibrate, clean, and test sterility of medical laboratory equipment.
Prepare standard volumetric solutions or reagents to be combined with samples, following standardized formulas or experimental procedures.
Perform medical research to further control or cure disease.
","","","","","","","Moderate","Moderate","High","High"
"438","Medical and Health Services Managers","","","Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.
Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.
Direct or conduct recruitment, hiring, and training of personnel.
Develop and implement organizational policies and procedures for the facility or medical unit.
Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.
Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.
Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.
Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.
Establish work schedules and assignments for staff, according to workload, space, and equipment availability.
Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.","","","","","","","Low","Low","Moderate","High"
"439","Medical Assistants","","","Prepare treatment rooms for patient examinations, keeping the rooms neat and clean.
Interview patients to obtain medical information and measure their vital signs, weight, and height.
Operate x-ray, electrocardiogram (EKG), or other equipment to administer routine diagnostic tests.
Help physicians examine and treat patients, handing them instruments or materials or performing such tasks as giving injections or removing sutures.
Prepare and administer medications as directed by a physician.
Collect blood, tissue, or other laboratory specimens, log the specimens, and prepare them for testing.
Perform routine laboratory tests and sample analyses.
Clean and sterilize instruments and dispose of contaminated supplies.
Perform general office duties, such as answering telephones, taking dictation, or completing insurance forms.
Inventory and order medical, lab, or office supplies or equipment.","","","","","","","","","",""
"440","Medical Equipment Preparer","","","Operate and maintain steam autoclaves, keeping records of loads completed, items in loads, and maintenance procedures performed.
Clean instruments to prepare them for sterilization.
Record sterilizer test results.
Organize and assemble routine or specialty surgical instrument trays or other sterilized supplies, filling special requests as needed.
Examine equipment to detect leaks, worn or loose parts, or other indications of disrepair.
Report defective equipment to appropriate supervisors or staff.
Maintain records of inventory or equipment usage and order medical instruments or supplies when inventory is low.
Stock crash carts or other medical supplies.
Start equipment and observe gauges and equipment operation to detect malfunctions and to ensure equipment is operating to prescribed standards.
Check sterile supplies to ensure that they are not outdated.","","","","","","","","","",""
"441","Medical Equipment Repairer","","","Inspect and test malfunctioning medical or related equipment, following manufacturers' specifications and using test and analysis instruments.
Test or calibrate components or equipment, following manufacturers' manuals and troubleshooting techniques, using hand tools, power tools, or measuring devices.
Keep records of maintenance, repair, and required updates of equipment.
Perform preventive maintenance or service, such as cleaning, lubricating, or adjusting equipment.
Test, evaluate, and classify excess or in-use medical equipment and determine serviceability, condition, and disposition, in accordance with regulations.
Examine medical equipment or facility's structural environment and check for proper use of equipment to protect patients and staff from electrical or mechanical hazards and to ensure compliance with safety regulations.
Disassemble malfunctioning equipment and remove, repair, or replace defective parts, such as motors, clutches, or transformers.
Plan and carry out work assignments, using blueprints, schematic drawings, technical manuals, wiring diagrams, or liquid or air flow sheets, following prescribed regulations, directives, or other instructions as required.
Research catalogs or repair part lists to locate sources for repair parts, requisitioning parts and recording their receipt.
Solder loose connections, using soldering iron.","","","","","","","","","",""
"442","medical examiner ","","","Perform medicolegal examinations and autopsies, conducting preliminary examinations of the body to identify victims, locate signs of trauma, and identify factors that would indicate time of death.
Inquire into the cause, manner, and circumstances of human deaths and establish the identities of deceased persons.
Complete death certificates, including the assignment of cause and manner of death.
Arrange for the next of kin to be notified of deaths.
Complete reports and forms required to finalize cases.
Inventory personal effects recovered from bodies, such as jewelry or wallets.
Observe and record the positions and conditions of bodies and related evidence.
Direct activities of workers conducting autopsies, performing pathological and toxicological analyses, and preparing documents for permanent records.
Remove or supervise removal of bodies from death scenes, using the proper equipment and supplies, and arrange for transportation to morgues.
Confer with officials of public health and law enforcement agencies to coordinate interdepartmental activities.","","","","","","","","","",""
"443","Medical Lab Technician*","","","Conduct chemical analyses of body fluids, such as blood or urine, using microscope or automatic analyzer to detect abnormalities or diseases and enter findings into computer.
Analyze the results of tests or experiments to ensure conformity to specifications, using special mechanical or electrical devices.
Set up, maintain, calibrate, clean, and test sterility of medical laboratory equipment.
Prepare standard volumetric solutions or reagents to be combined with samples, following standardized formulas or experimental procedures.
Collect blood or tissue samples from patients, observing principles of asepsis to obtain blood sample.
Supervise or instruct other technicians or laboratory assistants.
Conduct blood tests for transfusion purposes and perform blood counts.
Inoculate fertilized eggs, broths, or other bacteriological media with organisms.
Obtain specimens, cultivating, isolating, and identifying microorganisms for analysis.
Examine cells stained with dye to locate abnormalities.","","","","","","","Moderate","Moderate","Low","Moderate"
"444","Medical Scientist, Except Epidemiologist","","","Plan and direct studies to investigate human or animal disease, preventive methods, and treatments for disease.
Conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public.
Study animal and human health and physiological processes.
Follow strict safety procedures when handling toxic materials to avoid contamination.
Write and publish articles in scientific journals.
Evaluate effects of drugs, gases, pesticides, parasites, and microorganisms at various levels.
Use equipment such as atomic absorption spectrometers, electron microscopes, flow cytometers, or chromatography systems.
Prepare and analyze organ, tissue, and cell samples to identify toxicity, bacteria, or microorganisms or to study cell structure.
Standardize drug dosages, methods of immunization, and procedures for manufacture of drugs and medicinal compounds.
Investigate cause, progress, life cycle, or mode of transmission of diseases or parasites.","","","","","","","Low","Low","Moderate","Moderate"
"445","Medical Secretary and Administrative Assistant","","","Answer telephones and direct calls to appropriate staff.
Schedule and confirm patient diagnostic appointments, surgeries, or medical consultations.
Schedule tests or procedures for patients, such as lab work or x-rays, based on physician orders.
Operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records.
Greet visitors, ascertain purpose of visit, and direct them to appropriate staff.
Perform various clerical or administrative functions, such as ordering and maintaining an inventory of supplies.
Interview patients to complete documents, case histories, or forms, such as intake or insurance forms.
Perform bookkeeping duties, such as credits or collections, preparing and sending financial statements or bills, and keeping financial records.
","","","","","","","Low","Moderate","Low","Moderate"
"446","Medical Transcriptionist","","","Take dictation using shorthand, a stenotype machine, or headsets and transcribing machines.
Review and edit transcribed reports or dictated material for spelling, grammar, clarity, consistency, and proper medical terminology.
Transcribe dictation for a variety of medical reports, such as patient histories, physical examinations, emergency room visits, operations, chart reviews, consultation, or discharge summaries.
Translate medical jargon and abbreviations into their expanded forms to ensure the accuracy of patient and health care facility records.
Produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.
Perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians.
Set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes.
Perform a variety of clerical and office tasks, such as handling incoming and outgoing mail, completing and submitting insurance claims, typing, filing, or operating office machines.","","","","","","","Low","Low","Low","High"
"447","Meeting, Convention, and Event Planners","","","Consult with customers to determine objectives and requirements for events, such as meetings, conferences, and conventions.
Review event bills for accuracy and approve payment.
Coordinate services for events, such as accommodation and transportation for participants, facilities, catering, signage, displays, special needs requirements, printing and event security.
Arrange the availability of audio-visual equipment, transportation, displays, and other event needs.
Confer with staff at a chosen event site to coordinate details.
Inspect event facilities to ensure that they conform to customer requirements.
Maintain records of event aspects, including financial details.
Monitor event activities to ensure compliance with applicable regulations and laws, satisfaction of participants, and resolution of any problems that arise.
Negotiate contracts with such service providers and suppliers as hotels, convention centers, and speakers.
Evaluate and select providers of services according to customer requirements.","","","","","","","Moderate","Moderate","h","High"
"448","Mental Health and Substance Abuse Social Workers","","","Interview clients, review records, conduct assessments, or confer with other professionals to evaluate the mental or physical condition of clients or patients.
Counsel clients in individual or group sessions to assist them in dealing with substance abuse, mental or physical illness, poverty, unemployment, or physical abuse.
Assist clients in adhering to treatment plans, such as setting up appointments, arranging for transportation to appointments, or providing support.
Counsel or aid family members to assist them in understanding, dealing with, or supporting the client or patient.
Plan or conduct programs to prevent substance abuse, combat social problems, or improve health or counseling services in community.","","","","","","","","","",""
"449","Mental Health Counselors","","","Collect information about clients through interviews, observation, or tests.
Encourage clients to express their feelings and discuss what is happening in their lives, helping them to develop insight into themselves or their relationships.
Assess patients for risk of suicide attempts.
Guide clients in the development of skills or strategies for dealing with their problems.
Develop and implement treatment plans based on clinical assessments and input from other expertise
Evaluate the effectiveness of counseling programs on clients' progress in resolving identified problems.
Discuss with individual patients their plans for life after leaving therapy.
Counsel family members to assist them in understanding, dealing with, or supporting clients or patients.
Plan or conduct programs to prevent substance abuse or improve community health or counseling services.
Coordinate or direct employee workshops, courses, or training about mental health issues.","","","","","","","","","",""
"450","Metal-Refining Furnace Operator and Tender","","","Regulate supplies of fuel and air, or control flow of electric current and water coolant to heat furnaces and adjust temperatures.
Draw smelted metal samples from furnaces or kettles for analysis, and calculate types and amounts of materials needed to ensure that materials meet specifications.
Weigh materials to be charged into furnaces, using scales.
Record production data, and maintain production logs.
Observe air and temperature gauges or metal color and fluidity, and turn fuel valves or adjust controls to maintain required temperatures.
Operate controls to move or discharge metal workpieces from furnaces.
Inspect furnaces and equipment to locate defects and wear.
Drain, transfer, or remove molten metal from furnaces, and place it into molds, using hoists, pumps, or ladles.
Kindle fires, and shovel fuel and other materials into furnaces or onto conveyors by hand, with hoists, or by directing crane operators.
Prepare material to load into furnaces, including cleaning, crushing, or applying chemicals, by using crushing machines, shovels, rakes, or sprayers.","","","","","","","","","",""
"451","Meteorologist*
","","","Your work as a meteorologist will fall into the two main categories of forecasting and research.
In weather forecasting, you'll need to:
collect data from satellite images, radar, remote sensors and weather stations all over the world
measure factors such as air pressure, temperature and humidity at various atmospheric levels
analyse and present this information to customers in the form of weather briefings
code weather reports for transmission over international networks
apply physical and mathematical relationships and sophisticated computer models to make short and long-range weather forecasts
In research, you'll need to:
investigate subjects such as airflow in the lowest kilometre of the atmosphere, the physics of clouds and precipitation, or global climate change
develop and improve numerical and computer models to predict atmospheric processes and improve the accuracy of forecasts
monitor climate variability and change
research seasonal forecasting, ocean forecasting and climate prediction
monitor and investigate changes in the stratosphere (ten to 50 km above the Earth), including the ozone layer
apply the results of research in order, for example, to give flood warnings or estimate the likely effects of global warming.
","","","","","","","Moderate","Low","Moderate","High"
"452","Meter Reader, Utilities","","","Walk or drive vehicles along established routes to take readings of meter dials.
Read electric, gas, water, or steam consumption meters and enter data in route books or hand-held computers.
Inspect meters for unauthorized connections, defects, and damage, such as broken seals.
Verify readings in cases where consumption appears to be abnormal, and record possible reasons for fluctuations.
Connect and disconnect utility services at specific locations.
Perform preventative maintenance or minor repairs on meters.
","","","","","","","High","High","Moderate","Moderate"
"453","Microbiologist","","","Isolate and maintain cultures of bacteria or other microorganisms in prescribed or developed media, controlling moisture, aeration, temperature, and nutrition.
Study growth, structure, development, and general characteristics of bacteria and other microorganisms to understand their relationship to human, plant, and animal health.
Examine physiological, morphological, and cultural characteristics, using microscope, to identify and classify microorganisms in human, water, and food specimens.
Provide laboratory services for health departments, community environmental health programs, and physicians needing information for diagnosis and treatment.
Investigate the relationship between organisms and disease, including the control of epidemics and the effects of antibiotics on microorganisms.
Prepare technical reports and recommendations, based upon research outcomes.
Supervise biological technologists and technicians and other scientists.
Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.
Use a variety of specialized equipment, such as electron microscopes, gas and high-pressure liquid chromatographs, electrophoresis units, thermocyclers, fluorescence-activated cell sorters, and phosphorimagers.
Observe action of microorganisms upon living tissues of plants, higher animals, and other microorganisms, and on dead organic matter.","","","","","","","Moderate","Moderate","Moderate","High"
"454","Microsystems Engineer","","","Create schematics and physical layouts of integrated microelectromechanical systems (MEMS) components or packaged assemblies consistent with process, functional, or package constraints.
Investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (MEMS) device designs, using simulation or modeling software.
Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.
Conduct analyses addressing issues such as failure, reliability, or yield improvement.
Plan or schedule engineering research or development projects involving microelectromechanical systems (MEMS) technology.
Propose product designs involving microelectromechanical systems (MEMS) technology, considering market data or customer requirements.
Develop formal documentation for microelectromechanical systems (MEMS) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting.
Communicate operating characteristics or performance experience to other engineers or designers for training or new product development purposes.
Evaluate materials, fabrication methods, joining methods, surface treatments, or packaging to ensure acceptable processing, performance, cost, sustainability, or availability.
Refine final microelectromechanical systems (MEMS) design to optimize design for target dimensions, physical tolerances, or processing constraints.","","","","","","","Moderate","Low","Low","Low"
"455","Midwives","","","Monitor fetal growth and well-being through heartbeat detection, body measurement, and palpation.
Conduct ongoing prenatal health assessments, tracking changes in physical and emotional health.
Evaluate patients' laboratory and medical records, requesting assistance from other practitioners when necessary.
Counsel women regarding the nutritional requirements of pregnancy.
Identify, monitor, or treat pregnancy-related problems such as hypertension, gestational diabetes, pre-term labor, or retarded fetal growth.
Monitor maternal condition during labor by checking vital signs, monitoring uterine contractions, or performing physical examinations.
Test patients' hemoglobin, hematocrit, and blood glucose levels.
Provide necessary medical care for infants at birth, including emergency care such as resuscitation.
Suture perineal lacerations.
Provide comfort and relaxation measures for mothers in labor through interventions such as massage, breathing techniques, hydrotherapy, or music.
Treat patients' symptoms with alternative health care methods such as herbs or hydrotherapy.","","","","","","","","","",""
"456","Milling and Planing Machine Setter, Operator, and Tender, Metal and Plastic","","","Position and secure workpieces on machines, using holding devices, measuring instruments, hand tools, and hoists.
Remove workpieces from machines, and check to ensure that they conform to specifications, using measuring instruments such as microscopes, gauges, calipers, and micrometers.
Verify alignment of workpieces on machines, using measuring instruments such as rules, gauges, or calipers.
Move cutters or material manually or by turning handwheels, or engage automatic feeding mechanisms to mill workpieces to specifications.
Observe milling or planing machine operation, and adjust controls to ensure conformance with specified tolerances.
Select cutting speeds, feed rates, and depths of cuts, applying knowledge of metal properties and shop mathematics.
Study blueprints, layouts, sketches, or work orders to assess workpiece specifications and to determine tooling instructions, tools and materials needed, and sequences of operations.
Compute dimensions, tolerances, and angles of workpieces or machines according to specifications and knowledge of metal properties and shop mathematics.
Move controls to set cutting specifications, to position cutting tools and workpieces in relation to each other, and to start machines.
Replace worn tools, using hand tools, and sharpen dull tools, using bench grinders.","","","","","","","","","",""
"457","Millwright","","","Insert shims, adjust tension on nuts and bolts, or position parts, using hand tools and measuring instruments, to set specified clearances between moving and stationary parts.
Level bedplate and establish centerline, using straightedge, levels, and transit.
Align machines or equipment, using hoists, jacks, hand tools, squares, rules, micrometers, lasers, or plumb bobs.
Assemble and install equipment, using hand tools and power tools.
Signal crane operator to lower basic assembly units to bedplate, and align unit to centerline.
Conduct preventative maintenance and repair, and lubricate machines and equipment.
Replace defective parts of machine or adjust clearances and alignment of moving parts.
Attach moving parts and subassemblies to basic assembly unit, using hand tools and power tools.
Assemble machines, and bolt, weld, rivet, or otherwise fasten them to foundation or other structures, using hand tools and power tools.
Lay out mounting holes, using measuring instruments, and drill holes with power drill.","","","","","","","","","",""
"458","Mining and Geological Engineer, Including Mining Safety Engineer","","","Prepare technical reports for use by mining, engineering, and management personnel.
Inspect mining areas for unsafe structures, equipment, and working conditions.
Select or develop mineral location, extraction, and production methods, based on factors such as safety, cost, and deposit characteristics.
Select locations and plan underground or surface mining operations, specifying processes, labor usage, and equipment that will result in safe, economical, and environmentally sound extraction of minerals and ores.
Prepare schedules, reports, and estimates of the costs involved in developing and operating mines.
Monitor mine production rates to assess operational effectiveness.
Supervise, train, and evaluate technicians, technologists, survey personnel, engineers, scientists or other mine personnel.
Examine maps, deposits, drilling locations, or mines to determine the location, size, accessibility, contents, value, and potential profitability of mineral, oil, and gas deposits.
Design, implement, and monitor the development of mines, facilities, systems, or equipment.
Test air to detect toxic gases and recommend measures to remove them, such as installation of ventilation shafts.","","","","","","","High","Moderate","Moderate","Low"
"459","Mixing and Blending Machine Setter, Operator, and Tender","","","Weigh or measure materials, ingredients, or products to ensure conformance to requirements.
Compound or process ingredients or dyes, according to formulas.
Read work orders to determine production specifications or information.
Observe production or monitor equipment to ensure safe and efficient operation.
Mix or blend ingredients by starting machines and mixing for specified times.
Dump or pour specified amounts of materials into machinery or equipment.
Collect samples of materials or products for laboratory testing.
Operate or tend machines to mix or blend any of a wide variety of materials, such as spices, dough batter, tobacco, fruit juices, chemicals, livestock feed, food products, color pigments, or explosive ingredients.
Add or mix chemicals or ingredients for processing, using hand tools or other devices.
Stop mixing or blending machines when specified product qualities are obtained and open valves and start pumps to transfer mixtures.","","","","","","","","","",""
"460","Mobile Heavy Equipment Mechanic, Except Engines","","","Repair and replace damaged or worn parts.
Test mechanical products and equipment after repair or assembly to ensure proper performance and compliance with manufacturers' specifications.
Operate and inspect machines or heavy equipment to diagnose defects.
Read and understand operating manuals, blueprints, and technical drawings.
Dismantle and reassemble heavy equipment using hoists and hand tools.
Overhaul and test machines or equipment to ensure operating efficiency.
Adjust, maintain, and repair or replace subassemblies, such as transmissions and crawler heads, using hand tools, jacks, and cranes.
Repair, rewire, and troubleshoot electrical systems.
Diagnose faults or malfunctions to determine required repairs, using engine diagnostic equipment such as computerized test equipment and calibration devices.
Examine parts for damage or excessive wear, using micrometers and gauges.","","","","","","","","","",""
"461","Model","","","Pose as directed, or strike suitable interpretive poses for promoting and selling merchandise or fashions during appearances, filming, or photo sessions
Participate in advertisements and television commercials to promote various products and services.
Stand, turn, and walk to demonstrate designer's clothing, shoes and accessories for observers at fashion shows, private showings, and retail establishments.
Collaborate with hair and clothing stylists as well as makeup artists to create specific looks.
Follow strict routines of diet, sleep, and exercise to maintain appearance
","","","","","","","Low","Low","Low","Low"
"462","Model Maker, Metal and Plastic","","","Study blueprints, drawings, and sketches to determine material dimensions, required equipment, and operations sequences.
Inspect and test products to verify conformance to specifications, using precision measuring instruments or circuit testers.
Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools.
Cut, shape, and form metal parts, using lathes, power saws, snips, power brakes and shears, files, and mallets.
Set up and operate machines, such as lathes, drill presses, punch presses, or bandsaws, to fabricate prototypes or models.
Devise and construct tools, dies, molds, jigs, and fixtures, or modify existing tools and equipment.
Rework or alter component model or parts as required to ensure that products meet standards.
Grind, file, and sand parts to finished dimensions.
Program computer numerical control (CNC) machines to fabricate model parts.
Lay out and mark reference points and dimensions on materials, using measuring instruments and drawing or scribing tools.","","","","","","","","","",""
"463","Model Maker, Wood","","","Verify dimensions and contours of models during hand-forming processes, using templates and measuring devices.
Read blueprints, drawings, or written specifications, and consult with designers to determine sizes and shapes of patterns and required machine setups.
Set up, operate, and adjust a variety of woodworking machines such as bandsaws and planers to cut and shape sections, parts, and patterns, according to specifications.
Fit, fasten, and assemble wood parts together to form patterns, models, or sections, using glue, nails, dowels, bolts, screws, and other fasteners.
Trim, smooth, and shape surfaces, and plane, shave, file, scrape, and sand models to attain specified shapes, using hand tools.
Select wooden stock, determine layouts, and mark layouts of parts on stock, using precision equipment such as scribers, squares, and protractors.
Construct wooden models, patterns, templates, full scale mock-ups, and molds for parts of products and production tools.
Mark identifying information on patterns, parts, and templates to indicate assembly methods and details.
Plan, lay out, and draw outlines of units, sectional patterns, or full-scale mock-ups of products.
Fabricate work aids such as scrapers or templates.","","","","","","","","","",""
"464","Molders, Shapers, and Casters, Except Metal and Plastic","","","Read work orders or examine parts to determine parts or sections of products to be produced.
Trim or remove excess material, using scrapers, knives, or band saws.
Brush or spray mold surfaces with parting agents or insert paper into molds to ensure smoothness and prevent sticking or seepage.
Engrave or stamp identifying symbols, letters, or numbers on products.
Assemble, insert, and adjust wires, tubes, cores, fittings, rods, or patterns into molds, using hand tools and depth gauges.
Clean, finish, and lubricate molds and mold parts.
Separate models or patterns from molds and examine products for accuracy.
Set the proper operating temperature for each casting.
Load or stack filled molds in ovens, dryers, or curing boxes, or on storage racks or carts.
Align and assemble parts to produce completed products, using gauges and hand tools.","","","","","","","","","",""
